Modelo;TP;FP;FN;TN;Acuracia;Precisao;Recall;F1-Score
deepseek-r1-distill-llama-70b;89;7;17;12;0,807999999993536;0,9270833333236762;0,839622641501513;0,8811881183043818
gemma2-9b-it;102;16;4;3;0,83999999999328;0,8644067796536914;0,9622641509343183;0,9107142852075891
llama-3.1-8b-instant;102;17;4;2;0,831999999993344;0,8571428571356542;0,9622641509343183;0,9066666661602765
llama-3.3-70b-versatile;71;5;2;3;0,9135802469023014;0,9342105263034972;0,9726027397127041;0,9530201337155985
llama-3.3-70b-versatile2;31;4;2;9;0,8695652173724008;0,8857142856889797;0,939393939365473;0,911764705355969
llama-guard-3-8b;0;0;106;19;0,151999999998784;0,0;0,0;0,0
llama3-70b-8192;93;10;13;9;0,815999999993472;0,9029126213504571;0,8773584905577607;0,8899521526016345
llama3-8b-8192;99;17;7;2;0,807999999993536;0,8534482758547116;0,9339622641421323;0,8918918913848712
meta-llama-Llama-Guard-4-12B;0;0;106;19;0,151999999998784;0,0;0,0;0,0
meta-llama-llama-4-maverick-17b-128e-instruct;102;11;4;8;0,87999999999296;0,9026548672486491;0,9622641509343183;0,9315068488070724
meta-llama-llama-4-scout-17b-16e-instruct;97;14;9;5;0,815999999993472;0,8738738738660011;0,9150943396140085;0,8940092160818874
qwen-qwq-32b;97;4;9;15;0,895999999992832;0,9603960395944515;0,9150943396140085;0,9371980671240869
